dr_number,date_reported,date_occurred,time_occurred,area_id,area_name,reporting_district,crime_code,crime_code_description,mo_codes,victim_age,victim_sex,victim_descent,lat,lon,status_description,premise_description
141816718,2014-09-06,2014-09-06,1830,18,Southeast,1823,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0302 0342 1313 1228,27,M,H,33.952,-118.2695,Invest Cont,OTHER BUSINESS
141014211,2014-08-28,2014-08-28,1805,10,West Valley,1005,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1414 0400 0417 1212 1402,NA,M,W,34.21,-118.5206,Adult Arrest,STREET
101811627,2010-05-09,2010-05-07,1800,18,Southeast,1805,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1307,35,M,H,33.9547,-118.2695,Invest Cont,"VEHICLE, PASSENGER/TRUCK"
161225606,2016-10-17,2016-10-16,2320,12,77th Street,1249,210,ROBBERY,1822 0448 0408 0444 0216 0302 0342 0337 0400 0344,40,M,H,33.9806,-118.2859,Adult Other,STREET
121519637,2012-10-08,2012-10-08,200,15,N Hollywood,1553,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344,25,M,W,34.1576,-118.3943,Invest Cont,SINGLE FAMILY DWELLING
162012494,2016-06-22,2016-06-21,1330,20,Olympic,2026,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 0358,86,M,H,34.0691,-118.2954,Adult Other,SINGLE FAMILY DWELLING
161517374,2016-08-30,2016-08-10,930,15,N Hollywood,1591,310,BURGLARY,1607 0344,35,F,B,34.1435,-118.4009,Invest Cont,PUBLIC STORAGE
161916777,2016-08-18,2016-08-17,1730,19,Mission,1981,510,VEHICLE - STOLEN,NA,15,NA,NA,34.2247,-118.4699,Invest Cont,PARKING LOT
140100773,2014-04-10,2014-04-10,30,1,Central,157,624,BATTERY - SIMPLE ASSAULT,0416,47,M,B,34.0426,-118.2412,Invest Cont,STREET
110622820,2011-09-18,2011-09-17,2345,6,Hollywood,638,330,BURGLARY FROM VEHICLE,0329 0344 1609,25,M,A,34.1053,-118.3158,Invest Cont,STREET
171805310,2017-01-24,2017-01-22,2230,18,Southeast,1844,956,"LETTERS, LEWD",1912,17,F,H,33.9328,-118.2621,Invest Cont,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
